"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 20 03:54:29 CET 2024","Sat Jan 20 03:54:29 CET 2024","134","tests","test_episode","TestRMEpisode","","","Test Episode Info",""
"passed","Sat Jan 20 03:54:29 CET 2024","Sat Jan 20 03:54:29 CET 2024","134","tests","test_episode","TestRMEpisode","","","Test Episode Info",""
"passed","Sat Jan 20 03:54:33 CET 2024","Sat Jan 20 03:54:33 CET 2024","143","tests","test_id","TestRMAid","","","Test ID Info",""
"passed","Sat Jan 20 03:54:38 CET 2024","Sat Jan 20 03:54:38 CET 2024","180","tests","test_location","TestRMALocation","","","Test location Info",""
"passed","Sat Jan 20 03:54:33 CET 2024","Sat Jan 20 03:54:34 CET 2024","142","tests","test_id","TestRMAid","","","Test ID Info",""
"passed","Sat Jan 20 03:54:30 CET 2024","Sat Jan 20 03:54:30 CET 2024","135","tests","test_episode","TestRMEpisode","","","Test Episode Info",""
"passed","Sat Jan 20 03:54:36 CET 2024","Sat Jan 20 03:54:37 CET 2024","130","tests","test_location","TestRMALocation","","","Test location Info",""
"passed","Sat Jan 20 03:54:37 CET 2024","Sat Jan 20 03:54:37 CET 2024","178","tests","test_location","TestRMALocation","","","Test location Info",""
"passed","Sat Jan 20 03:54:36 CET 2024","Sat Jan 20 03:54:36 CET 2024","176","tests","test_id","TestRMAid","","","Test negative Info","Test get_character_by_id function with invalid character IDs."
"passed","Sat Jan 20 03:54:39 CET 2024","Sat Jan 20 03:54:39 CET 2024","138","tests","test_location","TestRMALocation","","","Test location Info",""
"passed","Sat Jan 20 03:54:33 CET 2024","Sat Jan 20 03:54:33 CET 2024","346","tests","test_id","TestRMAid","","","Test ID Info",""
"passed","Sat Jan 20 03:54:34 CET 2024","Sat Jan 20 03:54:35 CET 2024","218","tests","test_id","TestRMAid","","","Test ID Info",""
"passed","Sat Jan 20 03:54:29 CET 2024","Sat Jan 20 03:54:30 CET 2024","306","tests","test_episode","TestRMEpisode","","","Test Episode Info",""
"passed","Sat Jan 20 03:54:34 CET 2024","Sat Jan 20 03:54:34 CET 2024","357","tests","test_id","TestRMAid","","","Test ID Info",""
"passed","Sat Jan 20 03:54:32 CET 2024","Sat Jan 20 03:54:32 CET 2024","140","tests","test_id","TestRMAid","","","Test ID Info",""
"passed","Sat Jan 20 03:54:35 CET 2024","Sat Jan 20 03:54:36 CET 2024","211","tests","test_id","TestRMAid","","","Test ID Info",""
"passed","Sat Jan 20 03:54:38 CET 2024","Sat Jan 20 03:54:38 CET 2024","134","tests","test_location","TestRMALocation","","","Test location Info",""
"passed","Sat Jan 20 03:54:36 CET 2024","Sat Jan 20 03:54:36 CET 2024","184","tests","test_location","TestRMALocation","","","Test location Info",""
"passed","Sat Jan 20 03:54:38 CET 2024","Sat Jan 20 03:54:38 CET 2024","140","tests","test_location","TestRMALocation","","","Test location Info",""
"passed","Sat Jan 20 03:54:37 CET 2024","Sat Jan 20 03:54:38 CET 2024","131","tests","test_location","TestRMALocation","","","Test location Info",""
"passed","Sat Jan 20 03:54:30 CET 2024","Sat Jan 20 03:54:30 CET 2024","139","tests","test_episode","TestRMEpisode","","","Test Episode Info",""
"passed","Sat Jan 20 03:54:32 CET 2024","Sat Jan 20 03:54:32 CET 2024","177","tests","test_episode","TestRMEpisode","","","Test Episode Info",""
"passed","Sat Jan 20 03:54:33 CET 2024","Sat Jan 20 03:54:33 CET 2024","138","tests","test_id","TestRMAid","","","Test ID Info",""
